VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WVWKP7AU4G,Thurston,Olympia,WA,98506,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,22,181057705,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
3FMTK3SU6M,Thurston,Tumwater,WA,98512,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,151004024,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
7SAYGDEE2P,Thurston,Olympia,WA,98513,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,256367408,POINT (-122.7654699 46.9970624),PUGET SOUND ENERGY INC,53067012320
1N4AZ1CP7J,Thurston,Olympia,WA,98506,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,274765802,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
YV4BR0DM3N,Thurston,Olympia,WA,98501,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22,255211883,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
1N4AZ1CP8L,Thurston,Olympia,WA,98503,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22,142394941,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011628
KNDC4DLC8R,Thurston,Olympia,WA,98506,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,266016663,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
1FADP5CU2G,Thurston,Olympia,WA,98501,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,169333202,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700
5YJ3E1EB5K,Thurston,Olympia,WA,98501,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,177568856,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011721
5YJSA1E69P,Thurston,Olympia,WA,98506,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,241507402,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012223
1V2WNPE88P,Thurston,Olympia,WA,98502,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,249768578,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
5YJXCAE2XH,Thurston,Olympia,WA,98501,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,35,287034583,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011720
5YJ3E1EB8J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,131234890,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
7SAYGDEE5R,Thurston,Olympia,WA,98502,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,269809802,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
1G1FY6S07P,Thurston,Olympia,WA,98506,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,220449442,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
JTDKARFP4H,Thurston,Olympia,WA,98501,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,22,228544550,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067011200
